,Date,daily number of doses received by Larimer County residents,total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,totalUnknown,mysteryColumn,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,12/14/2020,27,27,19,19,8,8,1.0,1,0.0,0,0.0,0,8.0,8,0.0,0,,0,2.0,0.0,8.0,0.0,0.0
1,12/15/2020,14,41,5,24,9,17,0.0,1,1.0,1,,0,9.0,17,,0,,0,2.0,0.0,17.0,0.0,0.0
2,12/16/2020,292,333,283,307,9,26,0.0,1,1.0,2,0.0,0,8.0,25,1.0,1,0.0,0,13.0,0.0,25.0,1.0,0.0
3,12/17/2020,954,1287,941,1248,13,39,1.0,2,10.0,12,0.0,0,13.0,38,0.0,1,0.0,0,44.0,0.0,37.0,1.0,0.0
4,12/18/2020,1004,2291,997,2245,7,46,2.0,4,13.0,25,0.0,0,6.0,44,0.0,1,1.0,1,91.0,0.0,43.0,1.0,1.0
5,12/19/2020,689,2980,688,2933,1,47,0.0,4,12.0,37,0.0,0,1.0,45,0.0,1,0.0,1,106.0,0.0,44.0,1.0,1.0
6,12/20/2020,249,3229,249,3182,0,47,0.0,4,4.0,41,0.0,0,0.0,45,0.0,1,0.0,1,117.0,0.0,44.0,1.0,1.0
7,12/21/2020,340,3569,325,3507,15,62,2.0,6,1.0,42,0.0,0,14.0,59,1.0,2,0.0,1,128.0,0.0,58.0,2.0,1.0
8,12/22/2020,352,3921,344,3851,8,70,1.0,7,6.0,48,0.0,0,8.0,67,0.0,2,0.0,1,154.0,0.0,66.0,2.0,1.0
9,12/23/2020,412,4333,407,4258,5,75,0.0,7,6.0,54,0.0,0,5.0,72,0.0,2,0.0,1,198.0,0.0,71.0,2.0,1.0
10,12/24/2020,99,4432,99,4357,0,75,0.0,7,3.0,57,0.0,0,0.0,72,0.0,2,0.0,1,204.0,0.0,71.0,2.0,1.0
11,12/25/2020,1,4433,1,4358,0,75,,7,,57,0.0,0,,72,,2,,1,205.0,0.0,71.0,2.0,1.0
12,12/26/2020,227,4660,227,4585,0,75,0.0,7,3.0,60,0.0,0,0.0,72,0.0,2,0.0,1,211.0,0.0,71.0,2.0,1.0
