Date,"daily number of doses received by Larimer County residents",total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,"totalUnknown",mysteryColumn
12/14/2020,16,16,16,16,0,0,,0,,0,0,0,0,0,0,0,,0,0
12/15/2020,4,20,3,19,1,1,0,0,1,1,,0,1,1,,0,,0,0
12/16/2020,280,300,279,298,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0
12/17/2020,939,1239,939,1237,0,2,0,0,10,12,0,0,0,2,0,0,0,0,0
12/18/2020,990,2229,989,2226,1,3,0,0,12,24,0,0,1,3,0,0,0,0,0
12/19/2020,688,2917,688,2914,0,3,0,0,12,36,0,0,0,3,0,0,0,0,0
12/20/2020,250,3167,250,3164,0,3,0,0,4,40,0,0,0,3,0,0,0,0,0
12/21/2020,322,3489,319,3483,3,6,0,0,1,41,0,0,3,6,0,0,0,0,0
12/22/2020,342,3831,341,3824,1,7,0,0,7,48,0,0,1,7,0,0,0,0,0
12/23/2020,405,4236,404,4228,1,8,0,0,6,54,0,0,1,8,0,0,0,0,0
12/24/2020,102,4338,102,4330,0,8,0,0,3,57,0,0,0,8,0,0,0,0,0
12/25/2020,1,4339,1,4331,0,8,,0,,57,0,0,,8,,0,,0,0
12/26/2020,225,4564,225,4556,0,8,0,0,3,60,0,0,0,8,0,0,0,0,0
12/27/2020,276,4840,275,4831,1,9,1,1,196,256,0,0,1,9,0,0,0,0,0
12/28/2020,681,5521,680,5511,1,10,0,1,377,633,0,0,1,10,0,0,0,0,0
12/29/2020,874,6395,872,6383,2,12,1,2,447,1080,0,0,2,12,0,0,0,0,0
12/30/2020,831,7226,831,7214,0,12,0,2,264,1344,0,0,0,12,0,0,0,0,0
12/31/2020,860,8086,853,8067,7,19,2,4,330,1674,0,0,7,19,0,0,0,0,0
1/1/2021,3,8089,3,8070,0,19,,4,,1674,,0,0,19,,0,,0,0
1/2/2021,364,8453,364,8434,0,19,0,4,135,1809,0,0,0,19,0,0,0,0,0
1/3/2021,115,8568,111,8545,4,23,0,4,56,1865,0,0,3,22,1,1,0,0,0
1/4/2021,552,9120,530,9075,22,45,0,4,311,2176,0,0,19,41,2,3,1,1,0
1/5/2021,604,9724,596,9671,8,53,1,5,394,2570,0,0,8,49,0,3,0,1,0
1/6/2021,1181,10905,880,10551,301,354,2,7,519,3089,15,15,267,316,16,19,3,4,0
1/7/2021,1577,12482,661,11212,916,1270,12,19,393,3482,33,48,823,1139,39,58,21,25,0
1/8/2021,1870,14352,920,12132,950,2220,11,30,469,3951,43,91,849,1988,34,92,24,49,0
1/9/2021,1183,15535,512,12644,671,2891,19,49,287,4238,17,108,608,2596,29,121,17,66,0
1/10/2021,666,16201,402,13046,264,3155,4,53,249,4487,10,118,237,2833,12,133,5,71,0
1/11/2021,1077,17278,757,13803,320,3475,1,54,514,5001,10,128,291,3124,12,145,7,78,0
1/12/2021,1096,18374,823,14626,273,3748,8,62,493,5494,12,140,236,3360,17,162,8,86,0
1/13/2021,1008,19382,778,15404,230,3978,2,64,358,5852,22,162,187,3547,12,174,9,95,0
1/14/2021,803,20185,772,16176,31,4009,1,65,472,6324,2,164,28,3575,1,175,0,95,0
1/15/2021,1177,21362,1168,17344,9,4018,1,66,731,7055,0,164,8,3583,0,175,1,96,0
1/16/2021,949,22311,936,18280,13,4031,2,68,565,7620,0,164,12,3595,0,175,1,97,0
1/17/2021,47,22358,42,18322,5,4036,2,70,16,7636,0,164,4,3599,1,176,0,97,0
1/18/2021,978,23336,784,19106,194,4230,55,125,588,8224,8,172,171,3770,4,180,11,108,0
1/19/2021,1180,24516,1056,20162,124,4354,10,135,692,8916,6,178,106,3876,4,184,8,116,0
1/20/2021,1324,25840,1117,21279,207,4561,21,156,543,9459,13,191,159,4035,11,195,24,140,0
1/21/2021,2145,27985,1957,23236,188,4749,10,166,1539,10998,10,201,148,4183,7,202,23,163,0
1/22/2021,1590,29575,1344,24580,246,4995,86,252,1032,12030,35,236,194,4377,6,208,11,174,0
1/23/2021,859,30434,531,25111,328,5323,55,307,396,12426,7,243,291,4668,8,216,22,196,0
1/24/2021,372,30806,88,25199,284,5607,206,513,53,12479,8,251,265,4933,8,224,3,199,0
1/25/2021,1332,32138,736,25935,596,6203,362,875,528,13007,12,263,554,5487,12,236,18,217,0
1/26/2021,1551,33689,663,26598,888,7091,447,1322,420,13427,27,290,816,6303,22,258,23,240,0
1/27/2021,1751,35440,717,27315,1034,8125,534,1856,302,13729,31,321,942,7245,25,283,36,276,0
1/28/2021,1292,36732,502,27817,790,8915,355,2211,277,14006,20,341,719,7964,19,302,32,308,0
1/29/2021,1536,38268,1085,28902,451,9366,161,2372,790,14796,16,357,377,8341,21,323,37,345,0
1/30/2021,1150,39418,677,29579,473,9839,208,2580,557,15353,20,377,419,8760,17,340,17,362,0
1/31/2021,585,40003,369,29948,216,10055,82,2662,336,15689,3,380,185,8945,8,348,20,382,0
2/1/2021,1486,41489,801,30749,685,10740,461,3123,613,16302,15,395,628,9573,18,366,24,406,0
2/2/2021,1756,43245,692,31441,1064,11804,697,3820,563,16865,41,436,964,10537,21,387,38,444,0
2/3/2021,1160,44405,533,31974,627,12431,314,4134,208,17073,42,478,513,11050,29,416,43,487,
2/4/2021,2422,46827,1733,33707,689,13120,480,4614,1506,18579,26,504,606,11656,25,441,32,519,
2/5/2021,2431,49258,1454,35161,977,14097,666,5280,1260,19839,32,536,877,12533,17,458,51,570,
2/6/2021,2087,51345,1503,36664,584,14681,421,5701,1172,21011,10,546,540,13073,16,474,18,588,
2/7/2021,175,51520,43,36707,132,14813,90,5791,19,21030,4,550,116,13189,2,476,10,598,
2/8/2021,2387,53907,1540,38247,847,15660,583,6374,1114,22144,25,575,765,13954,21,497,36,634,
2/9/2021,2269,56176,1517,39764,752,16412,469,6843,980,23124,22,597,654,14608,28,525,48,682,
2/10/2021,1528,57704,994,40758,534,16946,296,7139,298,23422,23,620,463,15071,17,542,31,713,
2/11/2021,3324,61028,1940,42698,1384,18330,999,8138,782,24204,42,662,1258,16329,30,572,54,767,
2/12/2021,3119,64147,1712,44410,1407,19737,926,9064,757,24961,54,716,1277,17606,33,605,43,810,
2/13/2021,2878,67025,2302,46712,576,20313,292,9356,639,25600,13,729,522,18128,17,622,24,834,
2/14/2021,373,67398,304,47016,69,20382,47,9403,39,25639,2,731,59,18187,1,623,7,841,
2/15/2021,2538,69936,2072,49088,466,20848,314,9717,242,25881,13,744,428,18615,9,632,16,857,
2/16/2021,2677,72613,1878,50966,799,21647,489,10206,210,26091,32,776,711,19326,17,649,39,896,
2/17/2021,1495,74108,609,51575,886,22533,454,10660,144,26235,21,797,780,20106,31,680,54,950,
2/18/2021,2527,76635,1608,53183,919,23452,713,11373,253,26488,34,831,834,20940,24,704,27,977,
2/19/2021,2341,78976,1046,54229,1295,24747,987,12360,160,26648,39,870,1190,22130,30,734,36,1013,
2/20/2021,1550,80526,626,54855,924,25671,757,13117,107,26755,20,890,858,22988,22,756,24,1037,
2/21/2021,74,80600,27,54882,47,25718,26,13143,6,26761,,890,46,23034,0,756,1,1038,
2/22/2021,1920,82520,731,55613,1189,26907,892,14035,146,26907,35,925,1088,24122,26,782,40,1078,
2/23/2021,1157,83677,526,56139,631,27538,447,14482,154,27061,17,942,566,24688,19,801,29,1107,
2/24/2021,1310,84987,721,56860,589,28127,253,14735,123,27184,22,964,542,25230,11,812,14,1121,
2/25/2021,3710,88697,1985,58845,1725,29852,1463,16198,333,27517,36,1000,1614,26844,29,841,46,1167,
2/26/2021,3111,91808,1103,59948,2008,31860,1684,17882,187,27704,32,1032,1884,28728,42,883,50,1217,
2/27/2021,3325,95133,1582,61530,1743,33603,1503,19385,532,28236,31,1063,1613,30341,37,920,62,1279,
2/28/2021,379,95512,332,61862,47,33650,29,19414,110,28346,2,1065,39,30380,1,921,5,1284,
3/1/2021,2618,98130,1223,63085,1395,35045,1053,20467,284,28630,47,1112,1290,31670,30,951,28,1312,
3/2/2021,3134,101264,1684,64769,1450,36495,1014,21481,376,29006,36,1148,1332,33002,33,984,49,1361,
3/3/2021,1536,102800,1019,65788,517,37012,161,21642,192,29198,33,1181,456,33458,19,1003,9,1370,
3/4/2021,2856,105656,1463,67251,1393,38405,787,22429,149,29347,44,1225,1268,34726,40,1043,41,1411,
