,date,Hospitalizations/100k (7-day)
0,3/17/20,1.6623261
1,3/18/20,2.2164349
2,3/19/20,2.4934892
3,3/20/20,3.878761
4,3/21/20,3.878761
5,3/22/20,3.878761
6,3/23/20,4.7099241
7,3/24/20,4.4328697
8,3/25/20,3.878761
9,3/26/20,4.7099241
10,3/27/20,3.6017067
11,3/28/20,3.878761
12,3/29/20,3.878761
13,3/30/20,3.0475979
14,3/31/20,3.3246523
15,4/1/20,3.3246523
16,4/2/20,2.2164349
17,4/3/20,2.4934892
18,4/4/20,3.0475979
19,4/5/20,2.4934892
20,4/6/20,2.4934892
21,4/7/20,2.4934892
22,4/8/20,2.4934892
23,4/9/20,2.7705436
24,4/10/20,2.4934892
25,4/11/20,2.2164349
26,4/12/20,2.4934892
27,4/13/20,1.9393805
28,4/14/20,1.3852718
29,4/15/20,1.9393805
30,4/16/20,3.0475979
31,4/17/20,3.0475979
32,4/18/20,3.3246523
33,4/19/20,3.3246523
34,4/20/20,3.6017067
35,4/21/20,4.7099241
36,4/22/20,4.1558154
37,4/23/20,3.3246523
38,4/24/20,3.6017067
39,4/25/20,4.1558154
40,4/26/20,4.1558154
41,4/27/20,4.1558154
42,4/28/20,3.878761
43,4/29/20,4.1558154
44,4/30/20,3.6017067
45,5/1/20,3.0475979
46,5/2/20,2.2164349
47,5/3/20,2.2164349
48,5/4/20,2.4934892
49,5/5/20,1.9393805
50,5/6/20,1.9393805
51,5/7/20,FALSE
52,5/8/20,2.4934892
53,5/9/20,1.9393805
54,5/10/20,2.4934892
55,5/11/20,2.2164349
56,5/12/20,2.2164349
57,5/13/20,2.2164349
58,5/14/20,1.9393805
59,5/15/20,1.6623261
60,5/16/20,1.6623261
61,5/17/20,0.8311631
62,5/18/20,0.5541087
63,5/19/20,0.5541087
64,5/20/20,0.5541087
65,5/21/20,1.1082174
66,5/22/20,1.3852718
67,5/23/20,1.3852718
68,5/24/20,1.3852718
69,5/25/20,1.3852718
70,5/26/20,1.3852718
71,5/27/20,1.1082174
72,5/28/20,0.5541087
73,5/30/20,0.5541087
74,5/31/20,0.5541087
75,6/1/20,0.5541087
76,6/2/20,0.8311631
77,6/3/20,0.5541087
78,6/4/20,0.5541087
79,6/5/20,0.8311631
80,6/7/20,0.5541087
81,6/8/20,0.5541087
82,6/9/20,0.5541087
83,6/12/20,0.2770544
84,6/13/20,0.8311631
85,6/14/20,0.8311631
86,6/15/20,0.8311631
87,6/16/20,1.3852718
88,6/17/20,1.3852718
89,6/18/20,1.3852718
90,6/20/20,1.6623261
91,6/21/20,1.3852718
92,6/22/20,1.6623261
93,6/23/20,1.3852718
94,6/24/20,1.1082174
95,6/25/20,1.1082174
96,6/26/20,1.3852718
97,6/27/20,1.1082174
98,6/30/20,1.1082174
99,7/1/20,1.1082174
100,7/2/20,1.3852718
101,7/3/20,1.9393805
102,7/6/20,1.9393805
103,7/7/20,2.4934892
104,7/8/20,2.7705436
105,7/9/20,2.4934892
106,7/10/20,2.4934892
107,7/11/20,3.0475979
108,7/12/20,3.0475979
109,7/13/20,3.6017067
110,7/14/20,3.3246523
111,7/15/20,3.0475979
112,7/16/20,3.3246523
113,7/17/20,3.6017067
114,7/18/20,3.0475979
115,7/19/20,2.7705436
116,7/20/20,2.7705436
117,7/21/20,2.4934892
118,7/22/20,2.7705436
119,7/23/20,2.7705436
120,7/24/20,2.2164349
121,7/25/20,2.2164349
122,7/26/20,2.4934892
