,Date,daily number of doses received by Larimer County residents,total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,totalUnknown,daily_additional_doses,total_additional_doses,daily_second_booster ,total_second_boosters
0,12/14/2020,31,31,31,31,0,0,0.0,0,1.0,1,0.0,0,0,0,0.0,0,,0,0,0,0,0
1,12/15/2020,15,46,15,46,0,0,,0,,1,,0,0,0,0.0,0,,0,0,0,0,0
2,12/16/2020,308,354,308,354,0,0,0.0,0,1.0,2,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
3,12/17/2020,993,1347,993,1347,0,0,0.0,0,11.0,13,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
4,12/18/2020,1057,2404,1057,2404,0,0,0.0,0,15.0,28,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
5,12/19/2020,721,3125,721,3125,0,0,0.0,0,13.0,41,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
6,12/20/2020,267,3392,267,3392,0,0,0.0,0,4.0,45,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
7,12/21/2020,356,3748,356,3748,0,0,0.0,0,3.0,48,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
8,12/22/2020,360,4108,360,4108,0,0,0.0,0,7.0,55,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
9,12/23/2020,450,4558,450,4558,0,0,0.0,0,7.0,62,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
10,12/24/2020,107,4665,107,4665,0,0,0.0,0,3.0,65,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
11,12/25/2020,1,4666,1,4666,0,0,,0,,65,,0,0,0,,0,,0,0,0,0,0
12,12/26/2020,230,4896,230,4896,0,0,0.0,0,3.0,68,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
13,12/27/2020,275,5171,275,5171,0,0,0.0,0,195.0,263,0.0,0,0,0,0.0,0,,0,0,0,0,0
14,12/28/2020,721,5892,721,5892,0,0,0.0,0,388.0,651,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0
15,12/29/2020,904,6796,903,6795,1,1,0.0,0,454.0,1105,0.0,0,1,1,0.0,0,0.0,0,0,0,0,0
16,12/30/2020,883,7679,882,7677,1,2,0.0,0,259.0,1364,0.0,0,1,2,0.0,0,0.0,0,0,0,0,0
17,12/31/2020,906,8585,905,8582,2,4,1.0,1,340.0,1704,0.0,0,2,4,0.0,0,0.0,0,0,0,0,0
18,1/1/2021,8,8593,7,8589,2,6,,1,,1704,,0,2,6,,0,0.0,0,0,0,0,0
19,1/2/2021,384,8977,384,8973,0,6,0.0,1,136.0,1840,0.0,0,0,6,0.0,0,0.0,0,0,0,0,0
20,1/3/2021,129,9106,128,9101,2,8,0.0,1,58.0,1898,0.0,0,2,8,0.0,0,0.0,0,0,0,0,0
21,1/4/2021,601,9707,586,9687,15,23,0.0,1,318.0,2216,0.0,0,12,20,2.0,2,1.0,1,0,0,0,0
22,1/5/2021,648,10355,636,10323,12,35,0.0,1,406.0,2622,0.0,0,12,32,0.0,2,0.0,1,0,0,0,0
23,1/6/2021,1254,11609,936,11259,317,352,3.0,4,532.0,3154,18.0,18,278,310,17.0,19,4.0,5,1,1,0,0
24,1/7/2021,1672,13281,710,11969,961,1313,12.0,16,409.0,3563,34.0,52,868,1178,45.0,64,14.0,19,1,2,0,0
25,1/8/2021,1999,15280,991,12960,1007,2320,12.0,28,488.0,4051,48.0,100,895,2073,42.0,106,22.0,41,1,3,0,0
26,1/9/2021,1233,16513,538,13498,695,3015,16.0,44,309.0,4360,17.0,117,629,2702,35.0,141,14.0,55,0,3,0,0
27,1/10/2021,713,17226,437,13935,276,3291,4.0,48,270.0,4630,10.0,127,250,2952,13.0,154,3.0,58,0,3,0,0
28,1/11/2021,1144,18370,796,14731,348,3639,1.0,49,532.0,5162,10.0,137,316,3268,18.0,172,4.0,62,0,3,0,0
29,1/12/2021,1182,19552,883,15614,299,3938,8.0,57,515.0,5677,15.0,152,257,3525,19.0,191,8.0,70,0,3,0,0
